,M
191,-0.0238851040443047
192,-0.02732128501523791
193,-0.03055807877098426
194,-0.03358306807582877
195,-0.03638485536349153
196,-0.03895310092708508
197,-0.04127855648821344
198,-0.04335309404968948
199,-0.04516972995571403
200,-0.0467226441028766
201,-0.04800719426492
202,-0.04901992551379116
203,-0.049758574738991375
204,-0.05022207028657837
205,-0.050410526758278534
206,-0.050325235029967295
207,-0.04996864756720625
208,-0.04934435913350905
209,-0.048457083004483995
210,-0.04731262281790388
211,-0.04591784020602049
212,-0.044280618372016016
213,-0.04240982178730826
214,-0.040315252200450374
215,-0.03800760116154245
216,-0.03549839927834884
217,-0.032799962431662305
218,-0.029925335187821766
219,-0.02688823165565796
220,-0.023702974043462624
221,-0.020384429178845812
222,-0.016947943260525913
223,-0.013409275116179424
224,-0.009784528244452992
225,-0.0060900819220889016
226,-0.0023425216588501344
227,0.0014414307164644787
228,0.005244987056126203
229,0.009051362698534267
230,0.01284384579975861
231,0.01660586591688553
232,0.02032106157331789
233,0.02397334654204452
234,0.027546974589753456
235,0.031026602432487466
236,0.03439735066229379
237,0.037644862413955454
238,0.0407553595513786
239,0.043715696164487276
240,0.046513409179505805
241,0.04913676589823586
242,0.05157480829529949
243,0.05381739391627571
244,0.05585523323413516
245,0.057679923336332165
246,0.05928397783026307
247,0.06066085287050337
248,0.06180496922721589
249,0.06271173033131737
250,0.0633775362483427
251,0.06379979354937812
252,0.06397692106389644
253,0.06390835151574088
254,0.06359452905981543
255,0.06303690275318109
256,0.062237916010166
257,0.061200992106716645
258,0.059930515814485594
259,0.058431811260006614
260,0.05671111611870545
261,0.05477555226736928
262,0.05263309303200678
263,0.05029252718071837
264,0.047763419823227654
265,0.04505607039003928
266,0.04218146787476738
267,0.039151243532965355
268,0.03597762123976164
269,0.03267336571673133
270,0.02925172884568333
271,0.025726394293396203
272,0.022111420676771062
273,0.018421183502371555
274,0.014670316117877653
275,0.010873649915581696
276,0.007046154029698324
277,0.003202874769943624
278,-0.0006411249664364782
279,-0.0044708260632323
280,-0.008271313095639892
281,-0.012027833546736453
282,-0.015725856098365514
283,-0.019351127769625866
284,-0.02288972968191597
285,-0.026328131236077496
286,-0.029653242494582437
287,-0.032852464569884963
288,-0.03591373782896794
289,-0.03882558773372876
290,-0.041577168147114915
291,-0.044158301945804015
292,-0.04655951879167122
293,-0.04877208992625896
294,-0.050788059864902466
295,-0.0526002748800265
296,-0.05420240817635241
297,-0.055588981674296614
298,-0.05675538433163799
299,-0.05769788694753287
300,-0.05841365340710517
301,-0.05890074833907682
302,-0.05915814117318075
303,-0.059185706598349375
304,-0.05898422143684904
305,-0.05855535796357729
306,-0.05790167371359602
307,-0.057026597834595794
308,-0.05593441405431491
309,-0.05463024034592109
310,-0.0531200053869636
311,-0.051410421919657306
312,-0.049508957131937724
313,-0.04742380018986996
314,-0.045163827062579605
315,-0.04273856279084094
316,-0.04015814135979541
317,-0.03743326334492672
318,-0.03457515150836927
319,-0.03159550452984595
320,-0.028506449062988104
321,-0.025320490313472947
322,-0.02205046134029269
323,-0.018709471285541988
324,-0.015310852741351934
325,-0.011868108465010439
326,-0.008394857654881795
327,-0.004904782000467145
328,-0.0014115717198415467
329,0.002071128203244359
330,0.005529771372075684
331,0.008950962711568922
332,0.01232151038020857
333,0.015628476658960118
334,0.018859227621732394
335,0.022001481397649184
336,0.025043354841785524
337,0.02797340843811344
338,0.03078068926614821
339,0.03345477187115036
340,0.03598579688670005
341,0.038364507267963546
342,0.04058228200399057
343,0.0426311671878683
344,0.04450390433446763
345,0.04619395584681431
346,0.047695527543743114
347,0.04900358817341274
348,0.05011388584941584
349,0.051022961358567494
350,0.05172815830194946
351,0.052227630043371026
352,0.05252034345203683
353,0.0526060794388375
354,0.05248543029824261
355,0.05215979388024474
356,0.051631364629110596
357,0.05090312153781213
358,0.049978813078871746
359,0.04886293918393744
360,0.04756073035563752
361,0.046078124006130594
